"ano_campeonato","data","rodada","estadio","publico","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante"
2023,"2023-11-26",35,"Arena MRV",39337,"Atlético-MG","Grêmio","Luiz Felipe Scolari","Renato Portaluppi",4,5,5070,2410,29.5,28.8,3,0,1,0
2023,"2023-07-18",15,"Estádio Serra Dourada",12303,"Goiás","Atlético-MG","Armando Evangelista","Luiz Felipe Scolari",18,12,1013,4850,28.5,29.2,0,0,0,0
2023,"2023-08-05",18,"Estádio Serra Dourada",8384,"Goiás","Fortaleza","Armando Evangelista","Juan Pablo Vojvoda",15,13,1145,1165,28.4,30.5,1,0,0,0
2023,"2023-09-02",22,"Estádio Serra Dourada",11038,"Goiás","Internacional","Armando Evangelista","Eduardo Coudet",15,14,963,3945,28.4,31.8,0,0,0,0
2023,"2023-09-21",24,"Estádio Serra Dourada",13799,"Goiás","Flamengo","Armando Evangelista","Jorge Sampaoli",16,7,1115,7750,28,27.6,0,0,0,0
2023,"2023-12-06",38,"Estádio Serra Dourada",1966,"Goiás","América-MG","Mário Henrique","Diogo Giacomini",18,20,1035,690,27.6,27.1,1,0,1,0
2023,"2023-04-30",3,"Estádio Beira-Rio",29193,"Internacional","Goiás","Mano Menezes","Émerson Ávila",4,14,3205,1175,28.1,28,1,0,0,0
2023,"2023-05-28",8,"Estádio Beira-Rio",19037,"Internacional","EC Bahia","Mano Menezes","Renato Paiva",13,16,2220,2125,27.7,27,2,0,0,0
2023,"2023-07-02",13,"Estádio Beira-Rio",23923,"Internacional","Cruzeiro","Mano Menezes","Pepa",8,12,3975,1950,28.1,27.3,0,0,0,0
2023,"2023-08-15",19,"Allianz Parque",38555,"Palmeiras","Cruzeiro","Abel Ferreira","Pepa",3,12,7930,2405,27.4,28.2,1,0,0,0
2023,"2023-08-27",21,"Allianz Parque",40292,"Palmeiras","Vasco da Gama","Abel Ferreira","Ramón Díaz",2,18,9200,2595,28,27.9,1,0,0,0
2023,"2023-09-16",23,"Allianz Parque",38146,"Palmeiras","Goiás","Abel Ferreira","Armando Evangelista",2,16,7050,673,28.8,28.7,1,0,0,0
2023,"2023-10-26",29,"Allianz Parque",32618,"Palmeiras","São Paulo","Abel Ferreira","Dorival Júnior",3,10,8300,3210,27.9,28.9,5,0,3,0
2023,"2023-10-29",30,"Allianz Parque",33747,"Palmeiras","EC Bahia","Abel Ferreira","Rogério Ceni",2,15,8250,2245,27.1,26.4,1,0,1,0
